Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-JUL-2023,21909.75,22097.3,21877.75,22084.3,245131969,7340.01
31-JUL-2023,22100.05,22297.4,22093.85,22275.85,256574090,6995.86
01-AUG-2023,22325.85,22352.9,22090.55,22124.1,167599218,5622.95
02-AUG-2023,22061.25,22081.9,21646.45,21812.85,253783411,7742.15
03-AUG-2023,21797.15,21921,21578.55,21737.2,204733424,7415.71
04-AUG-2023,21824.2,21893.2,21708.55,21791,179569982,6325.79
07-AUG-2023,21835.35,21902.85,21739.35,21873.2,208225862,6681.29
08-AUG-2023,21945.25,21979.4,21678.3,21856.5,253812217,7436.02
09-AUG-2023,21898.5,21991.35,21767.1,21973.55,178464951,6039.38
10-AUG-2023,21972.4,22010.4,21819.5,21865.85,192371255,6541.53
11-AUG-2023,21992.55,22005.3,21769.85,21802.65,255781420,7797.32
14-AUG-2023,21761.3,21810.7,21482.9,21761.25,166587494,5945.33
16-AUG-2023,21675.6,21762.55,21571.15,21742.3,171015321,8816.92
17-AUG-2023,21761.6,21853.75,21733.7,21770.95,245227199,6696.02
18-AUG-2023,21763.55,21823.6,21637.25,21704.05,186741382,6400.4
21-AUG-2023,21757.65,21906.75,21688.4,21880.8,135321802,4910.11
22-AUG-2023,21920.95,22115.4,21878.45,22098.8,175086308,6097.51
23-AUG-2023,22162.05,22323.95,22143.1,22267.75,196358867,7550.79
24-AUG-2023,22434.85,22476.45,22251.2,22274.95,180071503,6924.58
25-AUG-2023,22254.95,22291.85,21988.1,22017.25,194247055,6081.42
28-AUG-2023,22087.15,22179.7,22054.1,22147.25,177446315,5615.22
29-AUG-2023,22218.75,22220.8,22133.25,22172.65,146892293,5532.69
30-AUG-2023,22279.6,22423.55,22265.25,22363.05,173072733,6340.52
31-AUG-2023,22431.5,22462.5,22163.4,22211.65,987793525,26951.15
01-SEP-2023,22191.9,22353.1,22116.95,22322.2,339324727,7917.26
04-SEP-2023,22433.4,22504.6,22337.95,22475.55,276154020,6908.04
,,,,,227131837,6249.39
06-SEP-2023,22636.7,22671.15,22528.75,22617.65,213906005,7161.25
07-SEP-2023,22659.25,22754.5,22614.95,22736.25,188848922,6100.03
08-SEP-2023,22823.6,23101.25,22790.25,23085.3,276329356,8869.36
