MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Aug-12,3363.94,9.48,MOMENTUM,MOMENTUM,MOMENTUM,5802.77,4251.26,5374.510781423295
Sep-12,3629.03,12.14,MOMENTUM,MOMENTUM,MOMENTUM,6260.05,4586.27,5798.040649092606
Oct-12,3602.41,10.05,MOMENTUM,MOMENTUM,MOMENTUM,6214.13,4552.63,5755.510319478674
Nov-12,3847.13,14.36,MOMENTUM,MOMENTUM,MOMENTUM,6636.27,4861.9,6146.495378198482
Dec-12,3863.64,6.46,MOMENTUM,MOMENTUM,MOMENTUM,6664.75,4882.76,6172.873129585634
Jan-13,3798.69,5.45,MOMENTUM,MOMENTUM,MOMENTUM,6552.71,4800.68,6069.103598840899
Feb-13,3682.01,-4.29,CASH,CASH,CASH,6552.71,4800.68,6069.103598840899
Mar-13,3724.41,-3.6,CASH,CASH,CASH,6552.71,4800.68,6069.103598840899
Apr-13,3976.86,4.69,CASH,CASH,CASH,6552.71,4800.68,6069.103598840899
May-13,4074.66,10.66,CASH,MOMENTUM,MOMENTUM,6713.86,4800.68,6218.356610505037
Jun-13,3966.77,6.51,CASH,MOMENTUM,MOMENTUM,6536.09,4800.68,6053.705205306226
Jul-13,4005.55,0.72,CASH,MOMENTUM,CASH,6599.99,4800.68,6053.705205306226
Aug-13,3769.29,-7.49,CASH,CASH,CASH,6599.99,4800.68,6053.705205306226
Sep-13,4063.01,2.43,CASH,CASH,CASH,6599.99,4800.68,6053.705205306226
Oct-13,4297.87,7.3,CASH,MOMENTUM,MOMENTUM,6981.49,4800.68,6403.636218155866
Nov-13,4240.15,12.49,MOMENTUM,MOMENTUM,MOMENTUM,6887.73,4736.21,6317.635970937602
Dec-13,4367.5,7.49,MOMENTUM,MOMENTUM,MOMENTUM,7094.6,4878.46,6507.381838630704
Jan-14,4342.38,1.04,MOMENTUM,MOMENTUM,MOMENTUM,7053.8,4850.4,6469.9541496126385
Feb-14,4479.09,5.64,MOMENTUM,MOMENTUM,MOMENTUM,7275.87,5003.1,6673.646003341134
